Артикул;Цена;Остаток;
019942;5062;36;
019869;1368;78;
019881;9256;172;
019409;2632;250;
019871;193;20;
019013;2643;1;
019887;696;74;
019877;170;100;
019864;85;70;
019866;86;90;
019410;155;292;
019876;252;268;
019883;4378;250;
019872;248;30;
019865;200;62;
019339;284;0;
019875;309;50;
019867;109;130;
019288;342;250;
019870;1586;144;
019882;9678;0;
019888;612;56;
019878;237;80;
019301;902;250;
019259;738;118;
019879;9302;34;
019884;6180;6;
018378;2026;0;
019321;460;260;
019322;416;252;
019308;3310;250;
019297;6020;0;
019143;1612;0;
019862;1322;5;
019886;5716;204;
019306;2818;250;
019302;4652;128;
019318;92;0;
019310;6020;250;
019286;1860;250;
019267;3612;6;
019327;674;250;
019304;4924;250;
019292;3556;250;
019469;1087;0;
019313;2736;250;
019615;3772;140;
019324;446;254;
019293;998;258;
019329;120;251;
019309;239;254;
018961;2676;108;
019627;25;250;
019890;605;0;
019892;164;60;
019337;107;0;
019891;494;12;
019323;120;251;
019305;301;250;
019314;274;4;
019861;2734;56;
019863;1860;0;
019290;852;0;
019307;178;250;
019303;164;250;
019874;150;50;
019868;192;10;
019889;480;52;
019548;1096;0;
019270;9847;1;
019716;796;0;
019629;301;53;
019284;9440;28;
019366;548;98;
019873;109;60;
019285;390;92;
019296;128;0;
019263;109;156;
019262;137;250;
019298;246;250;
019311;301;250;
019316;256;0;
019624;876;250;
019897;259;250;
019626;726;114;
019291;274;250;
019616;41;258;
019549;911;0;
019261;142;0;
019294;199;0;
019943;5726;60;
019300;219;173;
019551;911;10;
019552;1040;129;
019625;726;250;
019885;6178;0;
019413;856;0;
019547;911;10;
019312;2408;0;
019287;3502;250;
019326;92;0;
019550;911;56;
019553;1040;123;
019315;4268;38;
70641;3270;7;
70656;11810;3;
70648;3270;4;
70647;18170;16;
70651;11810;3;
70642;4540;2;
70645;4540;2;
70652;18170;3;
70644;3270;7;
70646;6360;2;
70653;3270;2;
70650;6360;2;
018839;31;291;
018838;31;285;
018983;2893;0;
4630;138520;3;
4631;91818;3;
4632;95009;2;
4634;29943;15;
4635;16970;5;
4636;35732;5;
4637;18368;1;
4638;65871;3;
4639;41920;8;
4640;33936;2;
4730;138520;2;
4731;91818;2;
4732;95009;1;
4733;60681;5;
4734;29943;2;
4735;16970;12;
4736;35732;1;
4739;41920;1;
4740;33936;3;
MA 01625T/001 Bronze Cream;8393;1;
2226/1 WP Tear Drop;13332;10;
2118/5 AB Tear drop;112434;0;
95286;8790;1;
95285;8790;8;
06409/01/36;4836;0;
06496/37/17;11956;1;
06496/37/30;10122;0;
06502/81/30;10542;0;
08109/01/30;4204;29;
08109/01/31;4204;8;
08109/02/30;6533;6;
08109/02/31;6533;6;
08400/30/31;8813;0;
08400/30/36;4459;0;
08402/35/12;14488;0;
08402/50/12;22032;0;
08403/30/34;2183;0;
08404/35/31;3961;0;
08405/50/31;9082;1;
08408/21/31;2163;0;
08408/21/32;2163;0;
08408/21/34;2163;0;
08408/21/36;2163;0;
08408/21/39;1476;6;
08408/21/53;2163;0;
08408/21/66;2163;0;
08500/81/31;5304;0;
08500/81/36;5304;0;
09100/01/12;2294;1;
09100/01/30;3396;44;
09100/01/31;3396;11;
09101/01/12;2480;15;
09101/01/30;3557;10;
09101/01/31;3557;36;
09101/02/12;4692;10;
09101/02/30;6921;44;
09101/02/31;6921;5;
09201/01/31;3848;2;
10916/15/12;15591;0;
11811/01/06;12742;0;
11811/01/30;10025;0;
11812/01/30;11836;0;
11812/01/31;11836;0;
06502/81/31;14650;0;
06508/01/30;4984;0;
16955/05/30;3090;3;
16955/05/31;3090;1;
16955/10/30;8555;0;
16955/10/31;8555;0;
16955/15/31;13127;0;
16955/20/30;16521;0;
16955/20/31;16521;0;
16956/05/36;6259;0;
16957/05/36;3728;0;
17282/02/31;14844;0;
17292/04/31;18113;0;
17292/08/31;25099;0;
17293/02/30;14194;1;
17293/02/31;14198;11;
17594/05/30;27360;0;
17594/05/31;20206;1;
17906/05/12;7989;0;
17906/05/31;7876;0;
17906/10/12;17648;0;
